episode_number,success_episode,failure_episode,episode_reward,episode_step
289,False,True,-161,20
290,False,True,-148,17
291,False,True,-177,8
292,False,True,-177,8
293,False,True,-176,9
294,False,True,-142,23
295,False,True,-103,42
296,False,True,-115,30
297,False,True,-145,20
298,False,True,-147,18
299,False,True,-162,23
300,False,True,-155,26
301,False,True,-141,24
302,False,True,-128,37
303,False,True,-152,25
304,False,True,-105,40
305,False,True,-159,18
306,False,True,-147,18
307,False,True,-162,15
308,False,True,-160,13
309,False,True,-123,30
310,False,True,-128,33
311,False,True,-166,19
312,False,True,-153,20
313,False,True,-157,28
314,False,True,-175,10
315,False,True,-157,24
316,False,True,-133,28
317,False,True,-109,40
318,False,True,-109,32
319,False,True,-135,30
320,False,True,-172,9
321,False,True,-142,27
322,False,True,-134,35
323,False,True,-110,35
324,False,True,-126,35
325,False,True,-106,43
326,False,True,-123,42
327,False,True,-145,20
328,False,True,-166,15
329,False,True,-170,15
330,False,True,-155,22
331,False,True,-134,31
332,False,True,-156,21
333,False,True,-169,16
334,False,True,-169,20
335,False,True,-124,33
336,False,True,-101,44
337,False,True,-111,34
338,False,True,-130,31
339,False,True,-135,30
340,False,True,-176,17
341,False,True,-122,23
342,False,True,-115,38
343,False,True,-167,18
344,False,True,-170,11
345,False,True,-97,48
346,False,True,-136,29
347,False,True,-131,34
348,False,True,-137,28
349,False,True,-131,26
350,False,True,-168,17
351,False,True,-126,31
352,False,True,-165,16
353,False,True,-138,19
354,False,True,-138,23
355,False,True,-153,16
356,False,True,-143,26
357,False,True,-136,29
358,False,True,-149,20
359,False,True,-148,17
360,False,True,-172,13
361,False,True,-96,41
362,False,True,-164,17
363,False,True,-162,15
364,False,True,-128,37
365,False,True,-153,20
366,False,True,-111,30
367,False,True,-149,16
368,False,True,-134,27
369,False,True,-116,37
370,False,True,-178,11
371,False,True,-84,57
372,False,True,-126,35
373,False,True,-171,14
374,False,True,-150,19
375,False,True,-155,14
376,False,True,-166,11
377,False,True,-165,16
