episode_number,success_episode,failure_episode,episode_reward,episode_step
315,False,True,339,80
316,False,True,221,61
317,False,True,459,98
318,False,True,440,96
319,False,True,934,166
320,False,True,1069,187
321,False,True,319,75
322,True,False,1453,186
323,False,True,428,93
324,False,True,339,79
325,False,True,252,65
326,False,True,888,158
327,False,True,1347,200
328,False,True,388,86
329,False,True,377,85
330,False,True,406,90
331,False,True,290,71
332,False,True,898,156
333,False,True,353,81
334,True,False,1398,178
335,False,True,281,69
336,False,True,356,81
337,False,True,1019,179
338,False,True,208,58
339,False,True,364,82
340,False,True,280,69
341,False,True,259,67
342,False,True,1092,192
343,False,True,324,76
344,False,True,429,90
345,False,True,901,159
346,False,True,341,78
347,False,True,397,86
348,False,True,498,106
349,False,True,440,93
350,False,True,396,87
351,False,True,884,160
352,False,True,946,169
353,False,True,259,66
354,False,True,1095,194
355,False,True,333,78
356,False,True,398,88
357,False,True,296,71
358,False,True,346,80
359,False,True,500,105
360,False,True,318,75
361,False,True,385,87
362,False,True,1024,189
363,False,True,281,71
364,False,True,1061,185
365,True,False,1146,136
366,False,True,332,77
367,False,True,313,73
368,False,True,347,82
369,True,False,1295,160
370,True,False,1289,159
371,False,True,587,109
372,False,True,338,88
373,False,True,138,45
374,False,True,395,87
375,True,False,1379,176
376,True,False,1303,162
377,True,False,1159,137
378,False,True,468,98
379,True,False,1193,143
380,False,True,310,71
381,False,True,120,43
382,True,False,1256,152
383,True,False,1288,155
384,True,False,1379,174
385,False,True,591,118
386,False,True,414,91
387,True,False,1537,198
388,True,False,1316,163
389,False,True,491,102
390,False,True,364,85
391,True,False,1299,160
392,False,True,453,99
393,False,True,512,109
394,False,True,478,103
395,True,False,1479,189
396,False,True,281,71
397,False,True,454,98
398,True,False,1457,187
399,False,True,325,79
400,False,True,270,67
401,False,True,310,74
402,False,True,294,72
403,False,True,384,86
404,False,True,426,94
405,False,True,246,65
406,True,False,1237,150
407,False,True,152,57
408,False,True,485,103
409,False,True,331,78
410,False,True,121,43
411,False,True,217,57
412,False,True,130,44
413,False,True,261,66
414,True,False,1349,167
415,True,False,1453,188
416,False,True,331,92
417,True,False,1162,137
418,True,False,1339,167
419,False,True,440,96
420,False,True,455,98
421,True,False,1198,144
422,False,True,241,63
423,False,True,530,107
424,False,True,358,83
425,True,False,1344,169
426,False,True,406,90
427,True,False,1427,182
428,True,False,1463,189
429,False,True,431,96
430,False,True,518,110
431,False,True,492,105
432,False,True,495,105
433,True,False,1233,150
434,False,True,145,47
435,False,True,280,69
436,True,False,1483,190
437,False,True,453,99
438,False,True,500,105
439,True,False,1300,160
440,False,True,394,88
441,False,True,450,97
442,True,False,1371,171
443,True,False,1258,153
444,False,True,431,95
445,False,True,604,123
446,False,True,373,85
447,False,True,333,77
448,False,True,444,100
449,False,True,543,113
450,False,True,276,69
451,False,True,389,87
452,False,True,479,103
453,False,True,213,59
454,False,True,370,84
455,False,True,443,97
456,False,True,622,131
457,False,True,368,83
458,False,True,484,102
459,False,True,422,93
460,True,False,1336,164
461,False,True,90,41
462,False,True,33,31
463,False,True,-22,32
464,False,True,49,34
465,False,True,611,120
466,False,True,549,114
467,False,True,424,93
468,False,True,364,84
469,False,True,402,90
470,False,True,493,105
471,True,False,1362,170
472,True,False,1338,167
473,False,True,237,63
474,False,True,184,55
475,False,True,65,35
476,False,True,228,61
477,False,True,345,79
478,False,True,511,108
479,False,True,1120,199
480,True,False,930,100
481,False,True,324,78
482,False,True,269,68
483,False,True,475,102
484,False,True,439,95
485,True,False,1496,192
486,False,True,458,99
487,False,True,453,103
488,False,True,361,84
489,False,True,389,87
490,True,False,1486,191
491,False,True,391,88
492,False,True,355,80
493,False,True,478,102
494,False,True,501,106
495,False,True,233,62
496,False,True,349,81
497,False,True,388,87
498,False,True,511,109
499,False,True,269,69
500,False,True,431,94
501,True,False,1429,183
502,False,True,453,99
503,True,False,1376,174
504,False,True,365,107
505,False,True,497,105
506,False,True,431,94
507,False,True,526,111
508,False,True,419,93
509,False,True,438,95
510,False,True,342,81
511,True,False,1231,148
512,False,True,394,88
513,False,True,513,108
514,False,True,417,91
515,False,True,497,106
516,False,True,351,81
517,False,True,368,84
518,False,True,349,82
519,False,True,459,99
520,False,True,301,73
521,False,True,395,88
522,False,True,516,108
523,False,True,445,97
524,False,True,435,95
525,False,True,324,78
526,False,True,398,90
527,False,True,437,96
528,False,True,473,102
529,False,True,352,82
530,False,True,200,56
531,False,True,386,87
532,False,True,436,96
533,False,True,254,65
534,False,True,179,53
535,False,True,23,29
536,False,True,241,64
537,True,False,1316,163
538,False,True,125,46
539,False,True,299,73
540,False,True,171,52
541,False,True,440,96
542,False,True,424,94
543,True,False,1429,181
544,False,True,212,58
545,False,True,431,95
546,False,True,429,95
547,False,True,583,119
548,True,False,1270,156
549,False,True,412,91
550,False,True,424,94
551,False,True,309,75
552,False,True,498,106
553,True,False,1253,155
554,False,True,372,85
555,False,True,309,75
556,False,True,141,48
557,False,True,415,91
558,False,True,340,79
559,False,True,350,77
560,False,True,139,47
561,True,False,756,74
562,False,True,220,61
563,False,True,419,93
564,False,True,400,89
565,False,True,492,105
566,True,False,1331,167
567,False,True,348,82
568,False,True,508,108
569,False,True,256,66
570,False,True,408,91
571,False,True,330,77
572,False,True,99,40
573,False,True,168,49
574,True,False,1029,116
575,False,True,263,68
576,False,True,408,92
577,False,True,379,87
578,False,True,118,43
579,False,True,241,64
580,False,True,175,53
581,False,True,207,59
582,True,False,1315,162
583,True,False,1011,113
584,False,True,340,80
585,False,True,416,93
586,False,True,430,95
587,False,True,362,83
588,False,True,291,72
589,False,True,507,108
590,False,True,394,90
591,False,True,238,62
592,False,True,231,62
593,False,True,568,116
594,True,False,1326,164
595,False,True,460,100
596,False,True,539,114
597,False,True,402,91
598,False,True,308,74
599,False,True,444,96
600,False,True,365,84
601,False,True,269,68
602,True,False,988,111
603,False,True,166,50
604,False,True,230,61
605,False,True,139,47
606,True,False,1101,128
607,False,True,337,79
608,False,True,397,89
609,False,True,305,73
610,False,True,437,96
611,False,True,332,79
612,False,True,464,100
613,False,True,181,55
614,False,True,381,87
615,False,True,423,94
616,False,True,408,109
617,False,True,279,69
618,True,False,1437,185
619,False,True,514,109
620,True,False,1089,125
621,True,False,761,76
622,False,True,123,45
623,False,True,283,70
624,False,True,372,86
625,True,False,1430,182
626,True,False,1082,126
627,False,True,232,63
628,False,True,187,54
629,False,True,187,54
630,False,True,458,99
631,True,False,1154,137
632,False,True,441,96
633,True,False,1381,172
634,True,False,1402,179
635,False,True,447,98
636,False,True,462,100
637,True,False,1416,181
638,False,True,526,111
639,False,True,498,106
640,False,True,532,112
641,True,False,1460,189
642,True,False,1463,188
643,True,False,1471,191
644,False,True,488,105
645,False,True,504,108
646,False,True,451,99
647,True,False,1317,164
648,False,True,496,106
649,False,True,413,91
650,False,True,506,107
651,False,True,217,61
652,False,True,554,114
653,True,False,1346,166
654,False,True,299,73
655,False,True,167,52
656,False,True,267,69
657,True,False,1098,127
658,False,True,490,106
659,False,True,509,108
660,False,True,493,105
661,False,True,626,126
662,False,True,1326,200
663,False,True,413,92
664,False,True,402,89
665,False,True,319,76
666,False,True,415,91
667,False,True,204,57
668,False,True,222,60
669,False,True,445,97
670,False,True,490,105
671,False,True,563,115
672,False,True,344,80
673,False,True,507,108
674,False,True,485,104
675,False,True,517,110
676,False,True,381,87
677,False,True,173,52
678,False,True,327,77
679,False,True,427,95
680,True,False,1286,159
681,True,False,1315,162
682,False,True,432,96
683,False,True,455,99
684,False,True,495,106
685,True,False,1220,148
686,False,True,427,95
687,False,True,450,98
688,False,True,345,81
689,True,False,1509,197
690,False,True,447,98
691,False,True,368,85
692,True,False,1284,157
693,True,False,1398,178
694,False,True,434,96
695,False,True,453,99
696,False,True,493,106
697,False,True,521,110
698,False,True,392,89
699,False,True,634,128
700,False,True,404,92
701,False,True,395,89
702,False,True,488,105
703,False,True,350,80
704,False,True,331,78
705,True,False,922,100
706,False,True,366,84
707,False,True,507,108
708,False,True,446,97
709,False,True,551,115
710,True,False,1359,170
711,True,False,1234,152
712,False,True,263,68
713,True,False,1014,114
714,False,True,315,77
715,True,False,1328,164
716,False,True,449,99
717,True,False,1373,172
718,False,True,474,103
719,False,True,448,98
720,False,True,487,104
721,False,True,690,135
722,True,False,1227,150
723,False,True,434,96
724,False,True,341,81
725,False,True,383,88
726,False,True,344,80
727,False,True,435,96
728,True,False,1315,163
729,False,True,349,82
730,False,True,301,73
731,False,True,317,77
732,False,True,409,92
733,False,True,419,93
734,False,True,490,104
735,False,True,454,99
736,False,True,439,97
737,True,False,1397,177
738,False,True,501,108
739,False,True,357,83
740,True,False,1243,153
741,False,True,229,63
742,True,False,973,108
743,False,True,467,102
744,False,True,437,95
745,False,True,483,104
746,False,True,346,81
747,True,False,1200,145
748,True,False,1174,141
749,False,True,249,66
750,True,False,1328,166
751,False,True,532,108
752,True,False,1393,176
753,False,True,417,93
754,False,True,447,97
755,True,False,1174,138
756,False,True,480,100
757,False,True,203,58
758,True,False,1277,158
759,True,False,1328,166
760,False,True,382,87
761,False,True,473,102
762,True,False,1194,145
763,True,False,1170,141
764,False,True,273,69
765,True,False,1175,140
766,False,True,386,87
767,False,True,340,80
768,False,True,423,93
769,False,True,494,106
770,True,False,1218,148
771,True,False,1220,148
772,False,True,392,89
773,False,True,464,100
774,True,False,1076,126
775,False,True,185,55
776,True,False,937,102
777,False,True,368,84
778,False,True,398,90
779,False,True,234,64
780,False,True,528,111
781,True,False,1016,114
782,False,True,415,92
783,True,False,1319,164
784,False,True,458,100
785,True,False,1097,128
786,False,True,452,99
787,False,True,829,151
788,False,True,516,109
789,False,True,689,135
790,True,False,1476,191
791,False,True,451,99
792,False,True,379,87
793,True,False,1169,139
794,False,True,390,88
795,False,True,380,87
796,False,True,348,81
797,True,False,1156,138
798,False,True,665,132
799,True,False,1281,159
800,False,True,283,71
801,False,True,459,100
802,True,False,1292,161
803,False,True,381,88
804,False,True,449,97
805,False,True,471,102
806,True,False,1405,178
807,False,True,469,98
808,False,True,270,67
809,True,False,1404,180
810,True,False,1326,166
811,True,False,1323,167
812,False,True,689,135
813,True,False,1283,160
814,True,False,1410,179
815,True,False,1313,164
816,True,False,1261,155
817,True,False,1261,156
818,True,False,1026,117
819,False,True,661,131
820,True,False,1084,127
821,False,True,387,88
822,True,False,1187,142
823,True,False,1144,136
824,True,False,1195,146
825,True,False,1332,167
826,False,True,347,82
827,True,False,1081,127
828,True,False,1298,161
829,True,False,932,102
830,True,False,1280,157
831,True,False,1407,181
832,False,True,376,87
833,False,True,420,94
834,True,False,1261,155
835,False,True,434,96
836,False,True,833,151
837,True,False,1214,148
838,True,False,1233,150
839,False,True,392,89
840,False,True,392,90
841,False,True,366,85
842,False,True,306,75
843,False,True,289,72
844,True,False,1316,164
845,False,True,434,96
846,True,False,1256,154
847,False,True,399,90
848,True,False,1211,148
849,True,False,1134,133
850,True,False,1032,116
851,False,True,392,89
852,False,True,588,118
853,True,False,1298,162
854,True,False,997,114
855,False,True,368,85
856,False,True,412,91
857,False,True,146,50
858,False,True,165,52
859,False,True,297,72
860,True,False,1098,129
861,True,False,1387,177
862,True,False,1213,148
863,True,False,1212,149
864,False,True,510,107
865,True,False,1301,162
866,True,False,1156,138
867,True,False,1266,156
868,True,False,1308,162
869,True,False,984,110
870,True,False,1038,120
871,False,True,226,62
872,True,False,755,74
873,False,True,259,68
874,True,False,1224,148
875,False,True,448,99
876,True,False,1326,166
877,False,True,558,114
878,True,False,1232,152
879,False,True,682,128
880,True,False,939,103
