episode_number,success_episode,failure_episode,episode_reward,episode_step
289,False,True,-114,35
290,False,True,-94,47
291,False,True,-96,53
292,False,True,-132,33
293,False,True,-160,17
294,False,True,-177,8
295,False,True,-179,10
296,False,True,-164,13
297,False,True,-155,18
298,False,True,-138,23
299,False,True,-94,55
300,False,True,-101,44
301,False,True,-150,23
302,False,True,-145,24
303,False,True,-150,23
304,False,True,-167,14
305,False,True,-142,35
306,False,True,-98,47
307,False,True,-159,18
308,False,True,-108,37
309,False,True,-88,53
310,False,True,-164,13
311,False,True,-133,24
312,False,True,-149,20
313,False,True,-120,41
314,False,True,-135,30
315,False,True,-151,26
316,False,True,-161,16
317,False,True,-111,38
318,False,True,-172,13
319,False,True,-140,21
320,False,True,-116,41
321,False,True,-127,38
322,False,True,-100,49
323,False,True,-142,23
324,False,True,-146,19
325,False,True,-164,13
326,False,True,-149,32
327,False,True,-124,41
328,False,True,-130,35
329,False,True,-135,22
330,False,True,-127,34
331,False,True,-110,35
332,False,True,-173,12
333,False,True,-155,14
334,False,True,-145,20
335,False,True,-126,35
336,False,True,-132,29
337,False,True,-134,27
338,False,True,-131,26
339,False,True,-132,37
340,False,True,-141,32
341,False,True,-153,16
342,False,True,-176,9
343,False,True,-155,26
344,False,True,-174,11
345,False,True,-168,17
346,False,True,-107,34
347,False,True,-123,42
348,False,True,-116,45
349,False,True,-103,42
350,False,True,-118,39
351,False,True,-155,14
352,False,True,-133,32
353,False,True,-173,16
354,False,True,-155,22
355,False,True,-158,11
356,False,True,-163,18
357,False,True,-120,41
358,False,True,-157,28
359,False,True,-150,23
360,False,True,-136,29
361,False,True,-145,20
362,False,True,-98,51
363,False,True,-135,30
364,False,True,-179,10
365,False,True,-144,25
366,False,True,-114,35
367,False,True,-89,56
368,False,True,-170,19
369,False,True,-149,20
370,False,True,-171,10
371,False,True,-165,20
372,False,True,-153,20
373,False,True,-147,30
374,False,True,-130,23
375,False,True,-130,35
376,False,True,-127,34
377,False,True,-152,17
378,False,True,-99,58
379,False,True,-137,24
380,False,True,-149,24
381,False,True,-172,13
382,False,True,-162,15
383,False,True,-164,13
384,False,True,-116,37
385,False,True,-161,12
386,False,True,-164,17
387,False,True,-152,21
388,False,True,-129,36
389,False,True,-129,28
390,False,True,-89,60
391,False,True,-165,12
392,False,True,-158,19
393,False,True,-155,22
394,False,True,-127,34
395,False,True,-117,36
396,False,True,-177,8
397,False,True,-127,38
398,False,True,-152,17
399,False,True,-114,43
400,False,True,-160,13
401,False,True,-98,43
402,False,True,-133,32
403,False,True,-172,9
404,False,True,-180,9
405,False,True,-172,13
406,False,True,-141,24
407,False,True,-132,29
408,False,True,-167,22
409,False,True,-141,24
410,False,True,-155,14
411,False,True,-122,39
412,False,True,-127,38
413,False,True,-160,25
414,False,True,-109,36
415,False,True,-151,18
416,False,True,-154,23
417,False,True,-167,14
418,False,True,-123,34
419,False,True,-89,48
420,False,True,-113,32
421,False,True,-146,19
422,False,True,-139,22
423,False,True,-92,57
424,False,True,-125,40
425,False,True,-163,18
426,False,True,-115,54
427,False,True,-149,28
428,False,True,-146,23
429,False,True,-128,25
430,False,True,-159,14
431,False,True,-140,25
432,False,True,-144,21
433,False,True,-134,27
434,False,True,-142,27
435,False,True,-146,19
436,False,True,-165,16
437,False,True,-138,23
438,False,True,-144,21
439,False,True,-94,51
440,False,True,-175,10
441,False,True,-134,35
442,False,True,-168,13
443,False,True,-171,10
444,False,True,-172,9
445,False,True,-115,42
446,False,True,-133,28
447,False,True,-125,36
448,False,True,-177,8
449,False,True,-140,21
450,False,True,-137,32
451,False,True,-165,16
452,False,True,-103,42
453,False,True,-175,10
454,False,True,-116,45
455,False,True,-144,21
456,False,True,-169,16
457,False,True,-146,23
458,False,True,-174,15
459,False,True,-128,41
460,False,True,-135,26
461,False,True,-99,42
462,False,True,-106,43
463,False,True,-162,15
464,False,True,-94,43
465,False,True,-172,13
466,False,True,-151,26
467,False,True,-95,46
468,False,True,-144,21
469,False,True,-165,20
470,False,True,-124,37
471,False,True,-173,16
472,False,True,-155,14
473,False,True,-116,37
474,False,True,-154,15
475,False,True,-119,42
476,False,True,-149,20
477,False,True,-128,25
478,False,True,-128,37
479,False,True,-122,39
480,False,True,-112,45
481,False,True,-171,14
482,False,True,-152,17
483,False,True,-169,12
484,False,True,-116,33
485,False,True,-168,17
486,False,True,-172,9
487,False,True,-113,32
488,False,True,-164,13
489,False,True,-170,11
490,False,True,-115,34
491,False,True,-139,26
492,False,True,-104,37
493,False,True,-146,23
494,False,True,-121,36
495,False,True,-148,21
496,False,True,-127,34
497,False,True,-178,7
498,False,True,-166,15
499,False,True,-154,23
500,False,True,-136,21
501,False,True,-146,19
502,False,True,-142,27
503,False,True,-175,10
504,False,True,-86,59
505,False,True,-119,38
506,False,True,-139,26
507,False,True,-155,22
508,False,True,-167,10
509,False,True,-167,14
510,False,True,-155,14
511,False,True,-149,20
512,False,True,-82,55
513,False,True,-145,28
514,False,True,-150,15
515,False,True,-133,28
516,False,True,-139,30
517,False,True,-134,31
518,False,True,-117,40
519,False,True,-177,8
520,False,True,-174,11
521,False,True,-181,8
522,False,True,-182,11
523,False,True,-182,11
524,False,True,-174,15
525,False,True,-180,9
526,False,True,-162,15
527,False,True,-94,47
528,False,True,-132,37
529,False,True,-133,32
530,False,True,-144,21
531,False,True,-143,26
532,False,True,-151,22
533,False,True,-138,31
534,False,True,-178,11
535,False,True,-146,23
536,False,True,-134,31
537,False,True,-99,46
538,False,True,-159,22
539,False,True,-171,10
540,False,True,-132,33
541,False,True,-129,36
542,False,True,-149,28
543,False,True,-126,27
544,False,True,-136,33
545,False,True,-131,34
546,False,True,-132,33
547,False,True,-137,24
548,False,True,-128,29
549,False,True,-145,24
550,False,True,-146,19
551,False,True,-58,75
552,False,True,-140,25
553,False,True,-141,24
554,False,True,-135,30
555,False,True,-159,22
556,False,True,-165,12
557,False,True,-172,9
558,False,True,-162,19
559,False,True,-135,38
560,False,True,-118,47
561,False,True,-117,28
562,False,True,-148,17
563,False,True,-102,47
564,False,True,-106,39
565,False,True,-160,17
566,False,True,-156,25
567,False,True,-172,9
568,False,True,-159,22
569,False,True,-129,32
570,False,True,-173,12
571,False,True,-128,33
572,False,True,-103,38
573,False,True,-137,28
574,False,True,-167,14
575,False,True,-104,37
576,False,True,-145,20
577,False,True,-118,39
578,False,True,-145,24
579,False,True,-100,41
580,False,True,-123,38
581,False,True,-165,16
582,False,True,-149,24
583,False,True,-160,17
584,False,True,-175,10
585,False,True,-161,16
586,False,True,-151,18
587,False,True,-140,25
588,False,True,-131,26
589,False,True,-136,25
590,False,True,-114,43
591,False,True,-146,31
592,False,True,-170,15
593,False,True,-138,27
594,False,True,-180,9
595,False,True,-132,29
596,False,True,-120,37
597,False,True,-164,17
598,False,True,-116,37
599,False,True,-169,12
600,False,True,-140,29
601,False,True,-142,31
602,False,True,-148,33
603,False,True,-153,20
604,False,True,-152,17
605,False,True,-114,39
606,False,True,-118,39
607,False,True,-100,41
608,False,True,-138,23
609,False,True,-144,21
610,False,True,-160,21
611,False,True,-167,14
612,False,True,-165,16
613,False,True,-113,36
614,False,True,-133,28
615,False,True,-141,24
616,False,True,-132,29
617,False,True,-175,14
618,False,True,-173,12
619,False,True,-99,46
620,False,True,-132,33
